Latitude,Longitude,Source File,Stop Name,Line,Distance (m), Complex ID
40.841894,-73.873488,Subway_lines.csv,E 180 St,2Line,0,426
40.848828,-73.868457,Subway_lines.csv,Bronx Park East,2Line,0,425
40.857192,-73.867615,Subway_lines.csv,Pelham Pkwy,2Line,0,424
40.865462,-73.867352,Subway_lines.csv,Allerton Av,2Line,0,423
40.871356,-73.867164,Subway_lines.csv,Burke Av,2Line,0,422
40.87785,-73.866256,Subway_lines.csv,Gun Hill Rd,2Line,0,421
40.883895,-73.862633,Subway_lines.csv,219 St,2Line,0,420
40.888022,-73.860341,Subway_lines.csv,225 St,2Line,0,419
40.893193,-73.857473,Subway_lines.csv,233 St,2Line,0,418
40.898379,-73.854376,Subway_lines.csv,Nereid Av,2Line,0,417
40.903125,-73.85062,Subway_lines.csv,Wakefield-241 St,2Line,0,416
40.666235,-73.884079,Subway_lines.csv,New Lots Av,3Line,0,352
40.665449,-73.889395,Subway_lines.csv,Van Siclen Av,3Line,0,351
40.664635,-73.894895,Subway_lines.csv,Pennsylvania Av,3Line,0,350
40.663515,-73.902447,Subway_lines.csv,Junius St,3Line,0,349
40.662549,-73.908946,Subway_lines.csv,Rockaway Av,3Line,0,348
40.661453,-73.916327,Subway_lines.csv,Saratoga Av,3Line,0,347
40.664717,-73.92261,Subway_lines.csv,Sutter Av-Rutland Rd,3Line,0,346
40.668897,-73.932942,Subway_lines.csv,Crown Hts-Utica Av,3Line,0,345
40.669399,-73.942161,Subway_lines.csv,Kingston Av,3Line,0,344
40.669847,-73.950466,Subway_lines.csv,Nostrand Av,3Line,0,343
40.670682,-73.958131,Subway_lines.csv,Franklin Av-Medgar Evers College,3Line,0,626
40.671987,-73.964375,Subway_lines.csv,Eastern Pkwy-Brooklyn Museum,3Line,0,341
40.675235,-73.971046,Subway_lines.csv,Grand Army Plaza,3Line,0,340
40.680829,-73.975098,Subway_lines.csv,Bergen St,3Line,0,339
40.684359,-73.977666,Subway_lines.csv,Atlantic Av-Barclays Ctr,3Line,0,617
40.688246,-73.980492,Subway_lines.csv,Nevins St,3Line,0,337
40.690545,-73.985065,Subway_lines.csv,Hoyt St,3Line,0,336
40.693219,-73.989998,Subway_lines.csv,Borough Hall,3Line,0,620
40.697466,-73.993086,Subway_lines.csv,Clark St,3Line,0,334
40.706821,-74.0091,Subway_lines.csv,Wall St,3Line,0,333
40.709416,-74.006571,Subway_lines.csv,Fulton St,3Line,0,628
40.713051,-74.008811,Subway_lines.csv,Park Place,3Line,0,624
40.715478,-74.009266,Subway_lines.csv,Chambers St,3Line,0,327
40.737826,-74.000201,Subway_lines.csv,14 St,3Line,0,601
40.750373,-73.991057,Subway_lines.csv,34 St-Penn Station,3Line,0,318
40.75529,-73.987495,Subway_lines.csv,Times Sq-42 St,3Line,0,611
40.778453,-73.98197,Subway_lines.csv,72 St,3Line,0,313
40.793919,-73.972323,Subway_lines.csv,96 St,3Line,0,310
40.799075,-73.951822,Subway_lines.csv,Central Park North (110 St),3Line,0,441
40.802098,-73.949625,Subway_lines.csv,116 St,3Line,0,440
40.807754,-73.945495,Subway_lines.csv,125 St,3Line,0,439
40.814229,-73.94077,Subway_lines.csv,135 St,3Line,0,438
40.820421,-73.936245,Subway_lines.csv,145 St,3Line,0,437
40.82388,-73.93647,Subway_lines.csv,Harlem-148 St,3Line,0,436
40.666235,-73.884079,Subway_lines.csv,New Lots Av,4Line,0,352
40.665449,-73.889395,Subway_lines.csv,Van Siclen Av,4Line,0,351
40.664635,-73.894895,Subway_lines.csv,Pennsylvania Av,4Line,0,350
40.663515,-73.902447,Subway_lines.csv,Junius St,4Line,0,349
40.662549,-73.908946,Subway_lines.csv,Rockaway Av,4Line,0,348
40.661453,-73.916327,Subway_lines.csv,Saratoga Av,4Line,0,347
40.664717,-73.92261,Subway_lines.csv,Sutter Av-Rutland Rd,4Line,0,346
40.668897,-73.932942,Subway_lines.csv,Crown Hts-Utica Av,4Line,0,345
40.669399,-73.942161,Subway_lines.csv,Kingston Av,4Line,0,344
40.669847,-73.950466,Subway_lines.csv,Nostrand Av,4Line,0,343
40.670682,-73.958131,Subway_lines.csv,Franklin Av-Medgar Evers College,4Line,0,626
40.671987,-73.964375,Subway_lines.csv,Eastern Pkwy-Brooklyn Museum,4Line,0,341
40.675235,-73.971046,Subway_lines.csv,Grand Army Plaza,4Line,0,340
40.680829,-73.975098,Subway_lines.csv,Bergen St,4Line,0,339
40.684359,-73.977666,Subway_lines.csv,Atlantic Av-Barclays Ctr,4Line,0,617
40.688246,-73.980492,Subway_lines.csv,Nevins St,4Line,0,337
40.692404,-73.990151,Subway_lines.csv,Borough Hall,4Line,0,620
40.704817,-74.014065,Subway_lines.csv,Bowling Green,4Line,0,414
40.707557,-74.011862,Subway_lines.csv,Wall St,4Line,0,413
40.710368,-74.009509,Subway_lines.csv,Fulton St,4Line,0,628
40.713065,-74.004131,Subway_lines.csv,Brooklyn Bridge-City Hall,4Line,0,622
40.718803,-74.000193,Subway_lines.csv,Canal St,4Line,0,623
40.722301,-73.997141,Subway_lines.csv,Spring St,4Line,0,409
40.725915,-73.994659,Subway_lines.csv,Bleecker St,4Line,0,619
40.730054,-73.99107,Subway_lines.csv,Astor Pl,4Line,0,407
40.734673,-73.989951,Subway_lines.csv,14 St-Union Sq,4Line,0,602
40.739864,-73.986599,Subway_lines.csv,23 St,4Line,0,405
40.74307,-73.984264,Subway_lines.csv,28 St,4Line,0,404
40.746081,-73.982076,Subway_lines.csv,33 St,4Line,0,403
40.751776,-73.976848,Subway_lines.csv,Grand Central-42 St,4Line,0,610
40.757107,-73.97192,Subway_lines.csv,51 St,4Line,0,612
40.762526,-73.967967,Subway_lines.csv,59 St,4Line,0,613
40.768141,-73.96387,Subway_lines.csv,68 St-Hunter College,4Line,0,399
40.77362,-73.959874,Subway_lines.csv,77 St,4Line,0,398
40.779492,-73.955589,Subway_lines.csv,86 St,4Line,0,397
40.785672,-73.95107,Subway_lines.csv,96 St,4Line,0,396
40.7906,-73.947478,Subway_lines.csv,103 St,4Line,0,395
40.79502,-73.94425,Subway_lines.csv,110 St,4Line,0,394
40.798629,-73.941617,Subway_lines.csv,116 St,4Line,0,393
40.804138,-73.937594,Subway_lines.csv,125 St,4Line,0,392
40.813224,-73.929849,Subway_lines.csv,138 St-Grand Concourse,4Line,0,391
40.818375,-73.927351,Subway_lines.csv,149 St-Grand Concourse,4Line,0,603
40.827994,-73.925831,Subway_lines.csv,161 St-Yankee Stadium,4Line,0,604
40.835537,-73.9214,Subway_lines.csv,167 St,4Line,0,388
40.840075,-73.917791,Subway_lines.csv,170 St,4Line,0,387
40.844434,-73.914685,Subway_lines.csv,Mt Eden Av,4Line,0,386
40.84848,-73.911794,Subway_lines.csv,176 St,4Line,0,385
40.853453,-73.907684,Subway_lines.csv,Burnside Av,4Line,0,384
40.858407,-73.903879,Subway_lines.csv,183 St,4Line,0,383
40.862803,-73.901034,Subway_lines.csv,Fordham Rd,4Line,0,382
40.86776,-73.897174,Subway_lines.csv,Kingsbridge Rd,4Line,0,381
40.873412,-73.890064,Subway_lines.csv,Bedford Park Blvd-Lehman College,4Line,0,380
40.87975,-73.884655,Subway_lines.csv,Mosholu Pkwy,4Line,0,379
40.886037,-73.878751,Subway_lines.csv,Woodlawn,4Line,0,378
40.632836,-73.947642,Subway_lines.csv,Flatbush Av-Brooklyn College,5Line,0,359
40.639967,-73.948411,Subway_lines.csv,Newkirk Av-Little Haiti,5Line,0,358
40.645098,-73.948959,Subway_lines.csv,Beverly Rd,5Line,0,357
40.650843,-73.949575,Subway_lines.csv,Church Av,5Line,0,356
40.656652,-73.9502,Subway_lines.csv,Winthrop St,5Line,0,355
40.662742,-73.95085,Subway_lines.csv,Sterling St,5Line,0,354
40.667883,-73.950683,Subway_lines.csv,President St-Medgar Evers College,5Line,0,353
40.670682,-73.958131,Subway_lines.csv,Franklin Av-Medgar Evers College,5Line,0,626
40.684359,-73.977666,Subway_lines.csv,Atlantic Av-Barclays Ctr,5Line,0,617
40.688246,-73.980492,Subway_lines.csv,Nevins St,5Line,0,337
40.692404,-73.990151,Subway_lines.csv,Borough Hall,5Line,0,620
40.704817,-74.014065,Subway_lines.csv,Bowling Green,5Line,0,414
40.707557,-74.011862,Subway_lines.csv,Wall St,5Line,0,413
40.710368,-74.009509,Subway_lines.csv,Fulton St,5Line,0,628
40.713065,-74.004131,Subway_lines.csv,Brooklyn Bridge-City Hall,5Line,0,622
40.734673,-73.989951,Subway_lines.csv,14 St-Union Sq,5Line,0,602
40.751776,-73.976848,Subway_lines.csv,Grand Central-42 St,5Line,0,610
40.762526,-73.967967,Subway_lines.csv,59 St,5Line,0,613
40.779492,-73.955589,Subway_lines.csv,86 St,5Line,0,397
40.804138,-73.937594,Subway_lines.csv,125 St,5Line,0,392
40.813224,-73.929849,Subway_lines.csv,138 St-Grand Concourse,5Line,0,391
40.81841,-73.926718,Subway_lines.csv,149 St-Grand Concourse,5Line,0,603
40.816109,-73.917757,Subway_lines.csv,3 Av-149 St,5Line,0,434
40.81649,-73.907807,Subway_lines.csv,Jackson Av,5Line,0,433
40.819585,-73.90177,Subway_lines.csv,Prospect Av,5Line,0,432
40.822181,-73.896736,Subway_lines.csv,Intervale Av,5Line,0,431
40.824073,-73.893064,Subway_lines.csv,Simpson St,5Line,0,430
40.829993,-73.891865,Subway_lines.csv,Freeman St,5Line,0,429
40.837288,-73.887734,Subway_lines.csv,174 St,5Line,0,428
40.840295,-73.880049,Subway_lines.csv,West Farms Sq-E Tremont Av,5Line,0,427
40.841894,-73.873488,Subway_lines.csv,E 180 St,5Line,0,426
40.848828,-73.868457,Subway_lines.csv,Bronx Park East,5Line,0,425
40.854364,-73.860495,Subway_lines.csv,Morris Park,5Line,0,446
40.858985,-73.855359,Subway_lines.csv,Pelham Pkwy,5Line,0,445
40.869526,-73.846384,Subway_lines.csv,Gun Hill Rd,5Line,0,444
40.878663,-73.838591,Subway_lines.csv,Baychester Av,5Line,0,443
40.8883,-73.830834,Subway_lines.csv,Eastchester-Dyre Av,5Line,0,442
40.713065,-74.004131,Subway_lines.csv,Brooklyn Bridge-City Hall,6Line,0,622
40.718803,-74.000193,Subway_lines.csv,Canal St,6Line,0,623
40.722301,-73.997141,Subway_lines.csv,Spring St,6Line,0,409
40.725915,-73.994659,Subway_lines.csv,Bleecker St,6Line,0,619
40.730054,-73.99107,Subway_lines.csv,Astor Pl,6Line,0,407
40.734673,-73.989951,Subway_lines.csv,14 St-Union Sq,6Line,0,602
40.739864,-73.986599,Subway_lines.csv,23 St,6Line,0,405
40.74307,-73.984264,Subway_lines.csv,28 St,6Line,0,404
40.746081,-73.982076,Subway_lines.csv,33 St,6Line,0,403
40.751776,-73.976848,Subway_lines.csv,Grand Central-42 St,6Line,0,610
40.757107,-73.97192,Subway_lines.csv,51 St,6Line,0,612
40.762526,-73.967967,Subway_lines.csv,59 St,6Line,0,613
40.768141,-73.96387,Subway_lines.csv,68 St-Hunter College,6Line,0,399
40.77362,-73.959874,Subway_lines.csv,77 St,6Line,0,398
40.779492,-73.955589,Subway_lines.csv,86 St,6Line,0,397
40.785672,-73.95107,Subway_lines.csv,96 St,6Line,0,396
40.7906,-73.947478,Subway_lines.csv,103 St,6Line,0,395
40.79502,-73.94425,Subway_lines.csv,110 St,6Line,0,394
40.798629,-73.941617,Subway_lines.csv,116 St,6Line,0,393
40.804138,-73.937594,Subway_lines.csv,125 St,6Line,0,392
40.810476,-73.926138,Subway_lines.csv,3 Av-138 St,6Line,0,377
40.807566,-73.91924,Subway_lines.csv,Brook Av,6Line,0,376
40.805368,-73.914042,Subway_lines.csv,Cypress Av,6Line,0,375
40.808719,-73.907657,Subway_lines.csv,E 143 St-St Mary's St,6Line,0,374
40.812118,-73.904098,Subway_lines.csv,E 149 St,6Line,0,373
40.816104,-73.896435,Subway_lines.csv,Longwood Av,6Line,0,372
40.820948,-73.890549,Subway_lines.csv,Hunts Point Av,6Line,0,371
40.826525,-73.886283,Subway_lines.csv,Whitlock Av,6Line,0,370
40.828584,-73.879159,Subway_lines.csv,Elder Av,6Line,0,369
40.829521,-73.874516,Subway_lines.csv,Morrison Av-Soundview,6Line,0,368
40.831509,-73.867618,Subway_lines.csv,St Lawrence Av,6Line,0,367
40.833226,-73.860816,Subway_lines.csv,Parkchester,6Line,0,366
40.834255,-73.851222,Subway_lines.csv,Castle Hill Av,6Line,0,365
40.836488,-73.847036,Subway_lines.csv,Zerega Av,6Line,0,364
40.839892,-73.842952,Subway_lines.csv,Westchester Sq-E Tremont Av,6Line,0,363
40.843863,-73.836322,Subway_lines.csv,Middletown Rd,6Line,0,362
40.84681,-73.832569,Subway_lines.csv,Buhre Av,6Line,0,361
40.852462,-73.828121,Subway_lines.csv,Pelham Bay Park,6Line,0,360
